Label,FinalPerformance
resnet50/PUM/layer_11_type_0/Traces/trace_38,179406528.0
resnet50/PUM/layer_11_type_0/Traces/trace_4,177457616.0
resnet50/PUM/layer_11_type_0/Traces/trace_20,89732608.0
resnet50/PUM/layer_11_type_0/Traces/trace_35,88744040.0
resnet50/PUM/layer_15_type_0/Traces/trace_34,11092914.0
resnet50/PUM/layer_15_type_0/Traces/trace_10,50709936.0
resnet50/PUM/layer_15_type_0/Traces/trace_15,51791888.0
resnet50/PUM/layer_15_type_0/Traces/trace_14,12942856.0
resnet50/PUM/layer_15_type_0/Traces/trace_24,103075520.0
resnet50/PUM/layer_15_type_0/Traces/trace_5,45221736.0
resnet50/PUM/layer_15_type_0/Traces/trace_0,50702176.0
resnet50/PUM/layer_15_type_0/Traces/trace_39,22181726.0
resnet50/PUM/layer_15_type_0/Traces/trace_21,75970188.0
resnet50/PUM/layer_15_type_0/Traces/trace_16,44859696.0
resnet50/PUM/layer_15_type_0/Traces/trace_32,44859696.0
resnet50/PUM/layer_15_type_0/Traces/trace_8,173621364.0
resnet50/PUM/layer_15_type_0/Traces/trace_27,51792976.0
resnet50/PUM/layer_15_type_0/Traces/trace_37,90215328.0
resnet50/PUM/layer_15_type_0/Traces/trace_19,11280220.0
resnet50/PUM/layer_15_type_0/Traces/trace_30,25629664.0
resnet50/PUM/layer_15_type_0/Traces/trace_26,78516032.0
resnet50/PUM/layer_15_type_0/Traces/trace_7,90195504.0
resnet50/PUM/layer_15_type_0/Traces/trace_3,45239544.0
resnet50/PUM/layer_15_type_0/Traces/trace_1,24794796.0
resnet50/PUM/layer_15_type_0/Traces/trace_12,39480770.0
resnet50/PUM/layer_15_type_0/Traces/trace_25,25768416.0
